IPI,UniProt,Name,NumPeptides,Fr8,Fr9,Fr10,Fr11,Fr12,Fr13,Fr14,Fr15,Fr16,Fr17,Fr18,Fr19,Fr20,Fr21,Fr22,Fr23,Fr24,Fr30
IPI00108042,Q9D5J6,"Carbohydrate kinase-like protein ",5,,,,,,,,,,,,,0.39415252863681,0.60727382106801,0.64248405474692,0.75073934992972,0.70628163923076,20.4879336286677
IPI00108189,P70349,"histidine triad nucleotide binding protein 1 ",2,,,,,,,,,0.02097448859133,0.02659996402694,0.03717528347297,0.0811471863028,0.12115313041511,0.36939348628038,0.67646229314192,1,0.85179953344157,16.1293388382309
IPI00108371,Q9D625,"retinoid-inducible serine caroboxypetidase, full insert sequence ",4,0.68834168518907,0.88202598549564,0.59982767924297,0.53883687517487,0.48619847659994,0.29342537424074,0.22044760915894,0.10280757063092,0.07956575910452,0.10274331855117,0.03168405587945,0.0212686532978,,,,,,
IPI00108409,P55302,"Alpha-2-macroglobulin receptor-associated protein precursor ",5,0.92573353140384,0.86679036164689,0.48658378019539,0.46087518603583,0.41769121337098,0.15983035967104,0.19140593330573,0.06388020906563,,,,,,,,,,
IPI00108463,Q9CW42,"hypothetical protein, full insert sequence. ",1,1,0.3694256245763,0.53588869638289,0.55689201840923,0.0367840192996,0.01217119247849,0.01249632302028,0.07097999462783,,,,,,,,,,
IPI00108811,P17439,"Glucosylceramidase precursor ",4,1,0.70214393332364,0.51169645825758,0.42093192636453,0.46073110316892,0.32795608697146,0.25906676338818,0.17038801430116,,,,,,,,,,
IPI00108844,P24668,"Cation-dependent mannose-6-phosphate receptor precursor ",3,,,,,0.21835805780837,0.29131690007202,0.45084012459785,0.57247636120833,0.59069127915976,0.62524845491945,0.70819907627953,0.72221798327403,0.24276167812299,0.19561727714781,0.10170038773519,0.08714284183926,0.0822693093604,0.3748333916214
IPI00108895,P54775,"26S protease regulatory subunit 6B ",5,,,,,,,,,0.03700805685373,0.06312218423265,0.0725733655935,0.15159532540639,0.20380361066724,0.33993791465402,0.5072988529679,0.73002187102134,1,1.71368516710791
IPI00109044,Q6ZWQ9,"myosin regulatory light chain A, smooth muscle homolog ",3,0.9801397368294,0.73351502437757,0.38696273630858,0.35874360129148,,,,,,,,,,,,,,
IPI00109047,Q9D6E9,"GLUTAREDOXIN-RELATED PROTEIN, weakly similar to",1,1,0.55360425346412,0.22458179367804,0.18000771258302,,,,,,,,,,,,,,
IPI00109108,P46978,"Oligosaccharyl transferase STT3 subunit homolog ",1,,1,0.36410845590212,0.57438951685035,,,,,,,,,,,,,,
IPI00109109,P09671,"Superoxide dismutase [Mn], mitochondrial precursor ",3,1,0.44195186715465,0.19371639422678,0.19491689193711,0.07729460384019,0.05811477755809,0.05593720353612,0.04532350151543,0.07362458360573,0.06701113785914,0.03108739820028,0.03023925185661,0.01529267399618,,,,,
IPI00109142,Q9CWI4,"esterase 10, full insert sequence ",5,,,,,,,,,0.0140616388666,0.0316862402185,0.05578935644812,0.1469495788149,0.2196725313058,0.31095361096257,0.6883614502824,0.9287338969198,0.87921937267572,14.9901409252963
