Protein.ID,Protein.Description,Peptides,PSMs,X113,X114,X115,X116,X117,X118,X119,X121,n113,n114,n115,n116,n117,n118,n119,n121,GOannotation,Training
sp|P16546|SPTA2_MOUSE,"Spectrin alpha chain, brain (multiple isoforms)",18,18,20452.487,17108.3704,5593.999299,38802.78837,55091.31636,81377.80114,27676.79995,10219.3099,0.079791892,0.066745391,0.021824035,0.151382465,0.214929381,0.317481621,0.107976318,0.039868896,PLM-SKE-CYT,
sp|Q62261|SPTB2_MOUSE,"Spectrin beta chain, brain 1 (multiple isoforms)",12,12,96017.32908,59905.82969,9375.130125,113335.0664,137499.2706,249817.9278,47578.7394,7936.290293,0.1330865,0.083033524,0.012994563,0.157090053,0.190583271,0.346264512,0.065947345,0.011000234,PLM-SKE,
sp|Q03265|ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial",10,10,166374.6803,166604.6433,97418.58549,699815.0848,2840998.942,1740091.039,581344.3509,24099.15063,0.026338667,0.026375072,0.015422273,0.110787268,0.449756683,0.275472673,0.092032244,0.003815121,null,MIT
sp|P80318|TCPG_MOUSE,T-complex protein 1 subunit gamma,9,9,125774.892,121441.3248,19790.80043,104306.1728,87383.99392,186944.1317,169385.9978,516393.0547,0.094466703,0.091211857,0.014864427,0.078342029,0.065632159,0.140409548,0.127222027,0.38785125,COM,
sp|Q9CQN1|TRAP1_MOUSE,"Heat shock protein 75 kDa, mitochondrial",9,9,9916.320694,10478.13336,2711.639772,45940.75197,203239.8709,112723.9515,28906.26843,2412.261657,0.023818461,0.025167904,0.006513211,0.110347178,0.488171072,0.270756776,0.069431278,0.005794121,CYT,MIT
sp|Q9QXS1|PLEC_MOUSE,Isoform PLEC-1I of Plectin,9,9,29942.18596,15753.34086,3100.959656,13267.13123,15180.68629,31272.11398,21083.92867,2906.65716,0.225966818,0.118886854,0.023402232,0.100124,0.114565161,0.23600348,0.159115579,0.021935876,null,
sp|P43247|MSH2_MOUSE,DNA mismatch repair protein Msh2,8,8,5690.661757,6754.836021,1745.218754,9730.501186,12776.41673,103532.7552,24596.1825,71360.84252,0.02409384,0.028599475,0.007389127,0.04119822,0.054094401,0.438350008,0.104138413,0.302136516,null,
sp|P58252|EF2_MOUSE,Elongation factor 2,8,8,129289.1334,133273.615,24478.04045,149777.9149,122049.7774,159657.5439,289563.9033,342179.0833,0.095750648,0.098701528,0.018128269,0.1109245,0.090389231,0.118241286,0.214449047,0.25341549,null,
sp|Q69ZN7|MYOF_MOUSE,Myoferlin (multiple isoforms),8,8,45369.47832,102993.7213,14605.01634,74548.37332,26760.2106,18134.41151,3625.651872,2297.840499,0.157350044,0.35720196,0.050652995,0.258548043,0.092809538,0.062893614,0.012574455,0.007969351,VES,
sp|Q8BHN3|GANAB_MOUSE,Neutral alpha-glucosidase AB (multiple isoforms),8,8,222795.5095,311159.8343,65603.93921,558737.5437,464663.6115,363289.6652,69460.72205,30036.88958,0.106818053,0.149183831,0.031453439,0.26788357,0.222780353,0.174177185,0.033302552,0.014401018,ERT-GOL-MEL,
sp|Q9JHU4|DYHC1_MOUSE,Cytoplasmic dynein 1 heavy chain 1,8,8,7701.411547,8664.667479,1863.469042,8626.933854,9918.809877,76334.12412,30488.84954,3754.98453,0.052264959,0.058802011,0.01264627,0.058545935,0.06731314,0.518034886,0.206909923,0.025482876,SKE,
sp|Q9Z0U1|ZO2_MOUSE,Tight junction protein ZO-2,8,8,39234.21224,40455.51013,13974.38065,42505.85586,29874.95753,24255.43016,18819.91541,15871.0636,0.174381,0.179809199,0.062110753,0.188922198,0.132782708,0.107806068,0.083647293,0.07054078,PLM-NUC,
tr|Q99K87|Q99K87_MOUSE,Serine hydroxymethyltransferase,8,8,72154.48126,73959.48588,22404.12779,290063.7503,1229763.058,716319.5885,159327.6187,16279.94759,0.027963904,0.028663445,0.008682855,0.112415956,0.476602091,0.277613977,0.06174838,0.006309392,MIT,
sp|P47738|ALDH2_MOUSE,"Aldehyde dehydrogenase, mitochondrial",7,7,44434.90155,57204.47706,28068.64627,363474.4908,1781524.319,1201084.416,252650.0328,25582.38138,0.011836607,0.015238177,0.00747695,0.096822642,0.474563955,0.319945883,0.067301129,0.006814656,MIT,
sp|P52480|KPYM_MOUSE,Pyruvate kinase isozymes M1/M2 (multiple isoforms),7,7,180476.3853,170895.4822,52087.55579,140908.2358,130696.4472,521656.4253,510363.2113,1733664.7,0.052452653,0.049668113,0.015138438,0.040952786,0.037984889,0.151611324,0.148329127,0.503862671,MIT-NUC,
sp|Q6ZWN5|RS9_MOUSE,40S ribosomal protein S9,7,7,97851.30652,101343.2129,19737.72277,178746.132,189106.156,174784.8308,289488.3861,246562.4309,0.075408281,0.078099289,0.015210709,0.137749193,0.145733058,0.134696449,0.223091773,0.190011249,RIB,
sp|Q9D8E6|RL4_MOUSE,60S ribosomal protein L4,7,7,74783.82782,93354.29642,43729.88667,165432.7314,220995.7131,242632.3872,781971.854,235566.4563,0.040239521,0.050231879,0.023530083,0.089015688,0.118912897,0.130555112,0.42076173,0.126753091,RIB,RIB
sp|O35129|PHB2_MOUSE,Prohibitin-2,6,6,13594.64788,16461.68153,4969.316385,66810.29298,274291.6076,182798.1876,32718.88382,1809.827601,0.022907652,0.027738745,0.008373543,0.112578638,0.462194882,0.308023959,0.055132932,0.003049649,MIT-NUC,
sp|P07901|HS90A_MOUSE,Heat shock protein HSP 90-alpha,6,6,326648.1132,226659.5773,49068.95435,125383.5638,66288.42839,51935.37393,38511.21104,2244327.598,0.104399684,0.072442446,0.01568288,0.040073718,0.02118638,0.016599014,0.01230853,0.717307348,MEL-CYT,
sp|P13864|DNMT1_MOUSE,DNA (cytosine-5)-methyltransferase 1 (multiple isoforms),6,6,1758.859433,1806.390191,406.116074,2755.34235,3451.355379,39775.23029,7738.39633,3353.880999,0.028812237,0.029590848,0.006652671,0.045135827,0.056537359,0.651566192,0.126764255,0.054940611,NUC,
sp|P14148|RL7_MOUSE,60S ribosomal protein L7,6,6,250538.4052,287754.5739,53099.13012,499318.6954,465403.799,434030.9319,600986.5176,352642.0119,0.085107892,0.097750224,0.018037774,0.169618552,0.158097663,0.1474403,0.20415511,0.119792485,RIB,
sp|P27773|PDIA3_MOUSE,Protein disulfide-isomerase A3,6,6,136920.1572,307749.3007,100535.2621,904812.6696,685172.9685,548137.6556,113004.7739,41935.85824,0.048240732,0.108428531,0.035421334,0.318790355,0.241405256,0.193123951,0.039814686,0.014775155,ERT-MEL,ERT
sp|P30999|CTND1_MOUSE,Catenin delta-1 (multiple isoforms),6,6,16456.98997,9646.692472,5438.166081,7335.311287,5552.097306,3231.16347,1935.276291,6687.122925,0.292398107,0.171396751,0.096622133,0.130329492,0.098646396,0.05740941,0.03438485,0.118812862,PLM,PLM
sp|P51432|PLCB3_MOUSE,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-3",6,6,71132.86366,76262.99193,8278.943113,42540.63755,18482.74691,11131.5585,4275.263239,8343.464086,0.29583413,0.317169796,0.034431257,0.176922056,0.076867809,0.046294986,0.017780372,0.034699593,NUC-CYT,
sp|P54071|IDHP_MOUSE,"Isocitrate dehydrogenase [NADP], mitochondrial",6,6,5835.612407,6887.057483,1758.809503,25058.90551,89580.9194,59381.89664,12084.0268,16269.19506,0.026910028,0.031758605,0.008110479,0.115555284,0.413088615,0.273830472,0.055723629,0.075022888,MIT,
sp|P62918|RL8_MOUSE,60S ribosomal protein L8,6,6,625273.6617,602297.5866,137692.4889,980394.805,918483.9981,937922.8976,1387892.191,644768.4776,0.100288874,0.096603696,0.022084769,0.157247454,0.147317457,0.150435301,0.222606762,0.103415686,RIB,
sp|P80314|TCPB_MOUSE,T-complex protein 1 subunit beta,6,6,44407.7678,45004.70441,6489.119764,36812.01091,28078.84523,52418.53393,30117.51122,168416.0244,0.107852724,0.109302498,0.015760064,0.089404981,0.068194825,0.127308396,0.073146113,0.409030399,COM,
sp|Q8BMK4|CKAP4_MOUSE,Cytoskeleton-associated protein 4,6,6,35681.29017,46347.79254,28128.28045,108111.2527,117976.0282,81326.8541,26659.92015,3330.829833,0.079723637,0.103556081,0.06284775,0.241555791,0.263596916,0.18171071,0.059566955,0.00744216,ERT-ERG,
